customerID,Gender,Elderly,Married,Dependents,Time_as_a_customer,PhoneService,Internet_Service,Security_Service,Technical_Support,StreamingTV,Contract_type,Payment_Method,Monthly_Payment,Total_Paid,Churn
7590-VHVEG,f,0,1,0,1,0.0,dsl,0,0,0,month-to-month,electronic check,29.85,29.85,0.0
5575-GNVDE,m,0,0,0,34,1.0,dsl,1,0,0,one year,mailed check,56.95,1889.5,0.0
3668-QPYBK,m,0,0,0,2,1.0,dsl,1,0,0,month-to-month,mailed check,53.85,108.15,1.0
7795-CFOCW,m,0,0,0,45,0.0,dsl,1,1,0,one year,bank transfer (automatic),65.60756321839081,1840.75,0.0
8191-XWSZG,f,0,0,0,52,1.0,no,0,0,0,one year,mailed check,65.60756321839081,1022.95,0.0
9959-WOFKT,m,0,0,1,71,1.0,fiber optic,1,0,1,two year,bank transfer (automatic),65.60756321839081,7382.25,0.0
4190-MFLUW,f,0,1,1,10,1.0,dsl,0,1,0,month-to-month,credit card (automatic),65.60756321839081,528.35,1.0
4183-MYFRB,f,0,0,0,21,1.0,fiber optic,0,0,0,month-to-month,electronic check,65.60756321839081,1862.9,0.0
8779-QRDMV,m,1,0,0,1,0.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,39.65,1.0
1680-VDCWW,m,0,1,0,12,1.0,no,0,0,0,one year,bank transfer (automatic),65.60756321839081,202.25,0.0
1066-JKSGK,m,0,0,0,1,1.0,no,0,0,0,month-to-month,mailed check,65.60756321839081,20.15,1.0
3638-WEABW,f,0,1,0,58,1.0,dsl,0,1,0,two year,credit card (automatic),65.60756321839081,3505.1,0.0
6322-HRPFA,m,0,1,1,49,1.0,dsl,1,1,0,month-to-month,credit card (automatic),65.60756321839081,2970.3,0.0
6865-JZNKO,f,0,0,0,30,1.0,dsl,1,0,0,month-to-month,bank transfer (automatic),65.60756321839081,1530.6,0.0
6467-CHFZW,m,0,1,1,47,1.0,fiber optic,0,0,1,month-to-month,electronic check,65.60756321839081,4749.15,1.0
8665-UTDHZ,m,0,1,1,1,0.0,dsl,0,0,0,month-to-month,electronic check,65.60756321839081,30.2,1.0
5248-YGIJN,m,0,1,0,72,1.0,dsl,1,1,1,two year,credit card (automatic),65.60756321839081,6369.45,0.0
8773-HHUOZ,f,0,0,1,17,1.0,dsl,0,0,1,month-to-month,mailed check,65.60756321839081,1093.1,1.0
