Valor_Condominio,Metragem,N_Quartos,N_banheiros,N_Suites,N_Vagas
1350.0,176.0,3,4,3,3
680.0,70.0,1,1,0,2
650.0,66.0,2,1,0,1
655.0,68.0,3,2,1,1
330.0,33.0,1,1,0,1
835.0,56.0,2,2,1,1
650.0,34.0,1,1,0,1
1000.0,120.0,3,2,1,2
900.0,110.0,3,2,1,2
0.0,60.0,2,2,1,1
500.0,60.0,2,2,1,1
295.0,50.0,2,2,1,1
350.0,50.0,2,2,1,1
420.0,54.0,2,2,1,1
434.0,62.0,3,2,1,1
320.0,65.0,3,2,1,1
0.0,80.0,2,1,0,0
100.0,52.0,2,2,1,1
1451.0,200.0,4,4,3,2
1500.0,238.0,4,4,2,3
400.0,67.0,3,2,1,1
1500.0,210.0,3,5,3,4
455.0,98.0,3,2,0,1
445.0,65.0,2,2,1,1
1650.0,109.0,2,3,2,4
480.0,50.0,2,1,0,1
1400.0,145.0,4,3,2,3
1460.0,150.0,2,2,1,2
718.0,64.0,2,2,1,2
320.0,50.0,2,2,1,1
500.0,64.0,3,2,1,1
1300.0,120.0,3,2,1,2
1585.0,210.0,3,4,3,4
570.0,74.0,2,2,0,1
390.0,50.0,2,2,1,1
370.0,70.0,2,2,1,1
0.0,56.0,2,2,1,1
730.0,80.0,2,2,1,1
530.0,44.0,1,1,0,1
900.0,95.0,3,2,1,2
596.0,69.0,3,2,1,2
560.0,91.0,2,2,1,2
702.0,48.0,1,1,0,1
398.0,50.0,2,2,1,1
1479.0,139.0,3,4,3,2
60.0,118.0,3,2,1,2
362.0,60.0,2,2,1,2
3040.0,186.0,3,2,1,3
708.0,96.0,2,2,1,2
607.0,78.0,2,1,0,1
500.0,32.0,1,1,0,1
280.0,60.0,2,1,0,0
1250.0,148.0,3,4,3,2
465.0,30.0,1,1,0,1
1250.0,104.0,2,2,1,2
142.0,63.0,1,2,1,1
890.0,110.0,2,1,0,1
560.0,70.0,3,1,0,1
1900.0,222.0,2,3,2,4
400.0,50.0,2,2,1,1
550.0,59.0,2,2,1,1
800.0,44.0,1,2,1,1
1610.0,110.0,3,4,3,3
1370.0,130.0,2,1,0,2
780.0,75.0,2,2,1,1
